Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2017,ERI,Eritrea,NOR,Norway,8
2017,SOM,Somalia,NOR,Norway,9
2017,IRQ,Iraq,IRL,Ireland,5
2017,SYR,Syrian Arab Rep.,LUX,Luxembourg,216
2017,COD,Dem. Rep. of the Congo,FIN,Finland,180
2017,SDN,Sudan,FRA,France,325
2017,All others,All others,ITA,Italy,56
2017,IRN,Iran (Islamic Rep. of),FIN,Finland,1
2017,SYR,Syrian Arab Rep.,BEL,Belgium,1357
2017,IRQ,Iraq,SWE,Sweden,56
2017,SYR,Syrian Arab Rep.,SVN,Slovenia,67
2017,ERI,Eritrea,AUS,Australia,386
2017,SDN,Sudan,USA,United States of America,887
2017,All others,All others,USA,United States of America,1994
2017,IRN,Iran (Islamic Rep. of),USA,United States of America,627
2017,SYR,Syrian Arab Rep.,FIN,Finland,664
2017,AFG,Afghanistan,NZL,New Zealand,28
2017,MMR,Myanmar,SWE,Sweden,5
2017,All others,All others,CHE,Switzerland,15
2017,All others,All others,DEU,Germany,54
2017,ERI,Eritrea,NZL,New Zealand,2
2017,SOM,Somalia,NZL,New Zealand,20
2017,IRQ,Iraq,ISL,Iceland,36
2017,SYR,Syrian Arab Rep.,LVA,Latvia,65
2017,COD,Dem. Rep. of the Congo,FRA,France,27
2017,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,460
2017,All others,All others,KOR,Rep. of Korea,24
2017,IRN,Iran (Islamic Rep. of),FRA,France,1
2017,SYR,Syrian Arab Rep.,CAN,Canada,1327
2017,AFG,Afghanistan,AUS,Australia,826
2017,IRQ,Iraq,USA,United States of America,1698
2017,SYR,Syrian Arab Rep.,SWE,Sweden,2875
2017,ERI,Eritrea,CAN,Canada,529
2017,SOM,Somalia,AUS,Australia,171
2017,IRQ,Iraq,AUS,Australia,47
2017,SYR,Syrian Arab Rep.,FRA,France,4207
2017,AFG,Afghanistan,SWE,Sweden,308
2017,MMR,Myanmar,USA,United States of America,4661
2017,AFG,Afghanistan,USA,United States of America,840
2017,SDN,Sudan,AUS,Australia,43
2017,All others,All others,ESP,Spain,4
2017,ERI,Eritrea,PRT,Portugal,1
2017,SOM,Somalia,PRT,Portugal,1
2017,IRQ,Iraq,ITA,Italy,4
2017,SYR,Syrian Arab Rep.,MLT,Malta,11
2017,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,263
2017,SDN,Sudan,NLD,Netherlands,7
2017,All others,All others,LTU,Lithuania,9
2017,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,40
2017,SYR,Syrian Arab Rep.,CHE,Switzerland,1307
2017,AFG,Afghanistan,CAN,Canada,57
2017,MMR,Myanmar,AUS,Australia,315
2017,SYR,Syrian Arab Rep.,USA,United States of America,3942
2017,ERI,Eritrea,DEU,Germany,14
2017,SOM,Somalia,CAN,Canada,356
2017,IRQ,Iraq,CAN,Canada,401
2017,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,7072
2017,BTN,Bhutan,AUS,Australia,1
2017,SDN,Sudan,BEL,Belgium,1
2017,All others,All others,EST,Estonia,6
2017,ERI,Eritrea,SWE,Sweden,655
2017,SOM,Somalia,SWE,Sweden,369
2017,IRQ,Iraq,LUX,Luxembourg,2
2017,SYR,Syrian Arab Rep.,NLD,Netherlands,2835
2017,COD,Dem. Rep. of the Congo,NLD,Netherlands,182
2017,SDN,Sudan,NOR,Norway,19
2017,All others,All others,NLD,Netherlands,57
2017,IRN,Iran (Islamic Rep. of),LUX,Luxembourg,1
2017,SYR,Syrian Arab Rep.,CHL,Chile,95
2017,AFG,Afghanistan,FIN,Finland,11
2017,MMR,Myanmar,CAN,Canada,102
2017,All others,All others,AUS,Australia,571
2017,ERI,Eritrea,FIN,Finland,4
2017,SOM,Somalia,DEU,Germany,8
2017,IRQ,Iraq,CHE,Switzerland,1
2017,SYR,Syrian Arab Rep.,HRV,Croatia,157
2017,SYR,Syrian Arab Rep.,IRL,Ireland,303
2017,BTN,Bhutan,USA,United States of America,138
2017,SDN,Sudan,CAN,Canada,245
2017,All others,All others,FIN,Finland,46
2017,ERI,Eritrea,USA,United States of America,999
2017,SOM,Somalia,USA,United States of America,1237
2017,IRQ,Iraq,MCO,Monaco,30
2017,SYR,Syrian Arab Rep.,NOR,Norway,3002
2017,COD,Dem. Rep. of the Congo,NOR,Norway,31
2017,SDN,Sudan,PRT,Portugal,6
2017,All others,All others,NOR,Norway,50
2017,IRN,Iran (Islamic Rep. of),NLD,Netherlands,3
2017,SYR,Syrian Arab Rep.,CYP,Cyprus,6
2017,AFG,Afghanistan,FRA,France,2
2017,MMR,Myanmar,JPN,Japan,39
2017,All others,All others,AUT,Austria,1
2017,ERI,Eritrea,FRA,France,35
2017,SOM,Somalia,FIN,Finland,14
2017,IRQ,Iraq,DEU,Germany,10
2017,IRQ,Iraq,FIN,Finland,5
2017,SYR,Syrian Arab Rep.,ISL,Iceland,21
2017,COD,Dem. Rep. of the Congo,AUS,Australia,1306
2017,SDN,Sudan,CHE,Switzerland,9
2017,All others,All others,FRA,France,460
2017,IRN,Iran (Islamic Rep. of),AUS,Australia,28
2017,SYR,Syrian Arab Rep.,ARG,Argentina,105
2017,IRQ,Iraq,NLD,Netherlands,9
2017,SYR,Syrian Arab Rep.,NZL,New Zealand,678
2017,COD,Dem. Rep. of the Congo,NZL,New Zealand,3
2017,All others,All others,NZL,New Zealand,338
2017,IRN,Iran (Islamic Rep. of),NOR,Norway,1
2017,SYR,Syrian Arab Rep.,DEU,Germany,3652
2017,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,96
2017,MMR,Myanmar,KOR,Rep. of Korea,42
2017,All others,All others,BEL,Belgium,12
2017,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,42
2017,SOM,Somalia,FRA,France,125
2017,IRQ,Iraq,FRA,France,25
2017,SYR,Syrian Arab Rep.,ITA,Italy,1062
2017,COD,Dem. Rep. of the Congo,BEL,Belgium,169
2017,SDN,Sudan,DEU,Germany,125
2017,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,328
2017,IRN,Iran (Islamic Rep. of),CAN,Canada,64
2017,SYR,Syrian Arab Rep.,AUS,Australia,81
2017,IRQ,Iraq,NOR,Norway,8
2017,SYR,Syrian Arab Rep.,PRT,Portugal,221
2017,COD,Dem. Rep. of the Congo,SWE,Sweden,888
2017,All others,All others,SWE,Sweden,617
2017,IRN,Iran (Islamic Rep. of),NZL,New Zealand,10
2017,SYR,Syrian Arab Rep.,ESP,Spain,1369
2017,AFG,Afghanistan,NLD,Netherlands,1
2017,MMR,Myanmar,NOR,Norway,5
2017,All others,All others,BRA,Brazil,2
2017,ERI,Eritrea,ITA,Italy,270
2017,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,267
2017,SOM,Somalia,NLD,Netherlands,7
2017,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,650
2017,SYR,Syrian Arab Rep.,LTU,Lithuania,191
2017,COD,Dem. Rep. of the Congo,CAN,Canada,128
2017,SDN,Sudan,FIN,Finland,20
2017,All others,All others,ISL,Iceland,14
2017,IRN,Iran (Islamic Rep. of),DEU,Germany,4
2017,SYR,Syrian Arab Rep.,AUT,Austria,253
2017,IRQ,Iraq,NZL,New Zealand,53
2017,SYR,Syrian Arab Rep.,ROU,Romania,48
2017,COD,Dem. Rep. of the Congo,USA,United States of America,9759
2017,SDN,Sudan,SWE,Sweden,177
2017,All others,All others,URY,Uruguay,16
2017,IRN,Iran (Islamic Rep. of),SWE,Sweden,5
2017,SYR,Syrian Arab Rep.,EST,Estonia,143
2017,AFG,Afghanistan,NOR,Norway,3
2017,MMR,Myanmar,NZL,New Zealand,177
2017,All others,All others,CAN,Canada,909
2017,ERI,Eritrea,NLD,Netherlands,2
